City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Percent Humidity,Percent Cloudiness,Wind Speed
223,Ayagoz,KZ,2022-04-29 02:10:54,clear sky,47.9714,80.4392,55.54,33,0,9.15
224,Kulhudhuffushi,MV,2022-04-29 02:10:00,overcast clouds,6.6221,73.07,84.51,70,97,1.54
225,Pisco,PE,2022-04-29 02:13:00,clear sky,-13.7,-76.2167,66.25,82,0,5.75
226,Prescott,US,2022-04-29 02:13:00,smoke,34.54,-112.4685,65.25,17,0,14.97
227,Nikolskoye,RU,2022-04-29 02:13:01,light snow,59.7035,30.7861,36.72,86,100,7.63
228,Kuandian,CN,2022-04-29 02:13:01,clear sky,40.7286,124.7847,60.28,26,0,4.97
229,Chokurdakh,RU,2022-04-29 02:09:50,scattered clouds,70.6333,147.9167,8.06,88,47,4.45
230,Blagoveshchenka,RU,2022-04-29 02:11:10,overcast clouds,52.8333,79.8667,59.63,46,96,12.97
231,Camacha,PT,2022-04-29 02:11:20,scattered clouds,33.0833,-16.3333,58.42,77,40,9.22
232,Saint-Pierre,RE,2022-04-29 02:08:31,clear sky,-21.3393,55.4781,74.91,74,0,6.91
233,Seydisehir,TR,2022-04-29 02:13:03,clear sky,37.4193,31.8453,53.94,68,1,2.04
234,Linxia,CN,2022-04-29 02:13:03,overcast clouds,35.6003,103.2064,48.16,69,100,5.53
235,Troitsko-Pechorsk,RU,2022-04-29 02:13:04,clear sky,62.7084,56.1964,22.75,81,9,4.5
236,Broome,US,2022-04-29 02:13:04,clear sky,42.2506,-75.833,37.78,51,0,6.91
237,Jiblah,YE,2022-04-29 02:13:05,clear sky,13.9216,44.1467,62.67,41,0,5.66
238,Camopi,GF,2022-04-29 02:13:06,broken clouds,3.1655,-52.3158,72.01,99,61,2.44
239,Kupang,ID,2022-04-29 02:13:06,overcast clouds,-10.1667,123.5833,85.12,59,99,4.38
240,Scottsbluff,US,2022-04-29 02:13:07,clear sky,41.8666,-103.6672,63.72,42,0,12.66
241,Cururupu,BR,2022-04-29 02:09:27,overcast clouds,-1.8283,-44.8683,74.19,95,97,3.36
242,Tazovskiy,RU,2022-04-29 02:13:08,overcast clouds,67.4667,78.7,18.99,88,100,8.16
243,Esperance,AU,2022-04-29 02:13:08,broken clouds,-33.8667,121.9,60.64,67,82,10.78
244,Paita,PE,2022-04-29 02:09:15,overcast clouds,-5.0892,-81.1144,69.31,79,96,12.8
245,Ararat,AM,2022-04-29 02:13:09,overcast clouds,39.8317,44.7049,59.34,83,100,3.31
246,Bharatpur,IN,2022-04-29 02:13:10,scattered clouds,27.2167,77.4833,95.54,12,42,8.16
247,Bemban,MY,2022-04-29 02:13:11,broken clouds,2.2684,102.3746,83.91,76,78,3.83
248,Dmanisi,GE,2022-04-29 02:13:11,overcast clouds,41.5251,44.3472,52.5,86,100,3.36
249,Gueugnon,FR,2022-04-29 02:13:12,overcast clouds,46.6036,4.0629,44.19,99,100,0.94
250,Belaya Gora,RU,2022-04-29 02:13:12,overcast clouds,68.5333,146.4167,18.57,80,100,4.23
251,Solnechnyy,RU,2022-04-29 02:13:13,clear sky,50.7214,136.6319,40.12,67,3,3.67
252,Houma,US,2022-04-29 02:08:26,clear sky,29.5958,-90.7195,70.0,61,0,3.44
253,Araouane,ML,2022-04-29 02:13:14,clear sky,18.9048,-3.5265,76.3,11,1,4.7
254,Begunitsy,RU,2022-04-29 02:13:14,snow,59.5855,29.3176,31.6,98,100,7.83
255,Beckley,US,2022-04-29 02:13:15,broken clouds,37.7782,-81.1882,52.21,37,75,0.0
256,Arroio Grande,BR,2022-04-29 02:13:00,clear sky,-32.2375,-53.0869,53.37,82,0,10.25
257,Kitgum,UG,2022-04-29 02:13:16,light rain,3.2783,32.8867,63.25,98,100,3.04
258,Najran,SA,2022-04-29 02:13:16,clear sky,17.4924,44.1277,69.67,53,0,2.42
259,Geraldton,AU,2022-04-29 02:03:44,clear sky,-28.7667,114.6,64.81,63,0,12.66
